date,open,high,low,close,adj close,volume
2019-05-30,177.95,179.23,176.67,178.3,0.0,20881182
2019-05-29,176.42,179.35,176.0,177.38,0.0,28179074
2019-05-28,178.92,180.59,177.91,178.23,0.0,27096279
2019-05-24,180.2,182.14,178.62,178.97,0.0,23387777
2019-05-23,179.8,180.54,177.81,179.66,0.0,36119316
2019-05-22,184.66,185.71,182.55,182.78,0.0,29748556
2019-05-21,185.22,188.0,184.7,186.6,0.0,28364848
2019-05-20,183.52,184.35,180.28,183.09,0.0,38612290
2019-05-17,186.93,190.9,186.76,189.0,0.0,32879090
2019-05-16,189.91,192.47,188.84,190.08,0.0,33031364
2019-05-15,186.27,191.75,186.02,190.92,0.0,26544718
2019-05-14,186.41,189.7,185.41,188.66,0.0,36529677
2019-05-13,187.71,189.48,182.85,185.72,0.0,57430623
2019-05-10,197.42,198.85,192.77,197.18,0.0,41208712
2019-05-09,200.4,201.68,196.66,200.72,0.0,34908607
2019-05-08,201.9,205.34,201.75,202.9,0.0,26339504
2019-05-07,205.88,207.42,200.83,202.86,0.0,38763698
2019-05-06,204.29,208.84,203.5,208.48,0.0,32443113
2019-05-03,210.89,211.84,210.23,211.75,0.0,20892378
2019-05-02,209.84,212.65,208.13,209.15,0.0,31996324
2019-05-01,209.88,215.31,209.23,210.52,0.0,64827328
2019-04-30,203.06,203.4,199.11,200.67,0.0,46534923
2019-04-29,204.4,205.97,203.86,204.61,0.0,22204716
2019-04-26,204.9,205.0,202.12,204.3,0.0,18649102
2019-04-25,206.83,207.76,205.12,205.28,0.0,18543206
2019-04-24,207.36,208.48,207.05,207.16,0.0,17540609
2019-04-23,204.43,207.75,203.9,207.48,0.0,23322991
2019-04-22,202.83,204.94,202.34,204.53,0.0,19439545
2019-04-18,203.12,204.15,202.52,203.86,0.0,24195766
2019-04-17,199.54,203.38,198.61,203.13,0.0,28906780
